"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","470uf/25V","","","","Capacitor_THT:C_Radial_D10.0mm_H12.5mm_P5.00mm","~"
"C2","1","100uf/63V","","","","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm","~"
"C3,C4,C12,C13","4","0.1uf","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"C5","1","10uf","","","","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm","~"
"C6,C7","2","33pf","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C8,C9,C10,C11","4","10uf/63V","","","","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm","~"
"D1","1","W01G","","","","Diode_THT:Diode_Bridge_Round_D9.8mm","https://www.vishay.com/docs/88769/woo5g.pdf"
"D2,D3","2","LED","","","","LED_THT:LED_D3.0mm","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"J1","1","Conn_01x02","","","","Connector_BarrelJack:BarrelJack_Horizontal","~"
"J2,J12,J13,J14","4","SBH11-PBPC-D05-ST-BK","","","","SBH11-PBPC-D05-ST-BK:SULLINS_SBH11-PBPC-D05-ST-BK",""
"J3","1","DE9_Pins","","","","DSUB-9M:FOXCONN_DSUB-9M","~"
"J4","1","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J11","1","USB-B-S-X-X-TH","","","","USB-B-S-X-X-TH:SAMTEC_USB-B-S-X-X-TH",""
"J15,J16","2","SBH11-PBPC-D10-ST-BK","","","","SBH11-PBPC-D10-ST-BK:SULLINS_SBH11-PBPC-D10-ST-BK",""
"R2","1","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3,R4,R5,R6,R7","5","8.2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R8","1","330","","","","Resistor_SMD:R_0805_2012Metric","~"
"RN1","1","R_Network08_US","","","","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"SW1","1","SW_SPDT","","","","MINI-SPDT-SW:SW_MINI-SPDT-SW","~"
"SW2,SW3,SW4","3","SW_Push","","","","1825910-6:SW_1825910-6-4","~"
"U1","1","MAX232","","","","MAX232:SOIC127P600X175-16N","http://www.ti.com/lit/ds/symlink/max232.pdf"
"U2","1","FT232RL","","","","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf"
"U3","1","AT89S51-24PU","","","","AT89S51-24PU:DIP1555W45P254L5232H482Q40",""
"U4","1","L7805","","","","L7805:TO255P1020X450X2000-3","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"Y1","1","11.092MHZ","","","","Crystal:Crystal_SMD_HC49-SD","~"
