"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4","2","220uF","","","","Capacitor_SMD:CP_Elec_8x10","~"
"C2,C3","2","100nF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"D1,D3","2","Diode","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"D2","1","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"F1","1","Fuse","","","","Fuse:Fuse_1206_3216Metric","~"
"J1","1","VIN","","","","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~"
"J2","1","GND_IN","","","","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~"
"J3","1","VOUT","","","","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~"
"J4","1","GND_OUT","","","","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~"
"L1","1","330uH","","","","Inductor_SMD:L_12x12mm_H4.5mm","~"
"R1","1","330ohm","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~"
"R2","1","10k","","","","Potentiometer_THT:Potentiometer_Bourns_3296Y_Vertical","~"
"R3","1","100ohm","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","LM2596S-ADJ","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
